dane_code,department,dept_capital,notary_offices,telecom_offices,post_offices,health_centers,health_posts,schools,libraries,fire_stations,jails,public_instrument_offices,tax_offices,municipal_employees,primary_enrollment,secondary_enrollment,infant_mortality,aqueduct_coverage,sewage_coverage,electricity_coverage,vaccination_coverage,not_poor_1993,not_poor_2005,life_quality_index,tax_per_capita_2002,crown_employees_1794,crown_employees_nonmilitary_1794,colonial_state_index,colonial_city,royal_road_distance,literacy_1918,schooling_1918,vaccination_1918,longitude,latitude,area_sqkm,elevation_m,rainfall_mm,distance_coast_km,distance_magdalena_km,highway_distance_m,population_1995,pop_density_1995,urban_share_1995,malaria_incidence,oil_producer,land_agri_share,land_mountain_share,slaves_share_1843,encomienda_1560,gold_mine_1560,foundation_year,population_1843
5001,Antioquia,1,31,69,73,27,34,518,47,14,50,11,31,6604,1.24773,0.975528,13.0746,97.946,94.831,99.5924,0.404849,83.9165,87.83,82,137918,19,19,4,0,7.9954,0.598485,0.124201,0.573573,-75.58,6.27,387,1486,1597,189.009,105.141,800.28,1.8955e+06,4897.95,0.953008,0.0107292,0,0.6,1,0.0340136,0,0,1616,13524
5002,Antioquia,0,1,3,1,0,0,6,1,1,1,1,1,76,1.09343,0.341068,28.8026,63.611,41.2914,89.2985,0.351527,56.3898,60.22,53,16168.9,0,0,0,0,11.6261,0.412556,0.0682835,0.268609,-75.44,5.79,497,2125,2047,201.14,85.0209,607.659,26785,53.8934,0.284035,0,0,0.421053,1,0.0070537,1,0,1811,5529
5004,Antioquia,0,0,3,3,1,1,2,1,0,1,0,0,24,0.896921,0.44991,142.857,33.9192,29.7012,72.4077,0.333422,54.4352,65.46,51,10238.1,0,0,0,0,13.6846,,,,-76.08,6.63,293,1920,2240,139.481,168.986,1666.17,3807,12.9932,0.278944,0,0,0.0714286,1,0,0,0,1860,2892.24
5021,Antioquia,0,0,1,1,0,0,3,1,0,1,0,0,23,0.921879,0.437249,25.463,49.6926,46.8238,74.8975,0.280247,43.5436,60.86,47,15724,0,0,0,0,26.3906,0.475091,0.126157,0.405671,-75.15,6.37,151,1650,2000,247.325,63.5615,290.737,5665,37.5166,0.436977,0.210779,0,0.666667,1,0,0,0,1886,2892.24
5030,Antioquia,0,1,1,1,0,0,4,1,0,1,0,1,568,1.27948,0.779612,22.0954,96.2607,89.6595,95.822,0.396131,68.3356,67.93,61,30418.9,0,0,0,0,16.4271,0.347361,0.0734057,0.220771,-75.72,6.04,85,1392,2500,170.682,119.429,975.607,25865,304.294,0.43145,0.0245486,0,0.6,1,0.0047286,0,0,1788,4864
5031,Antioquia,0,1,1,1,0,0,3,1,1,1,1,0,46,1.25393,0.54192,21.7102,64.5868,53.2884,66.8634,0.560501,46.2082,54.75,51,39923.7,0,0,0,0,14.379,0.341596,0.0469223,0.209931,-75.09,6.89,1224,1550,1925,217.048,81.9119,282.965,20307,16.5907,0.505541,0.38956,0,0.833333,0.979167,0.0741573,0,0,1838,1780
5034,Antioquia,0,1,1,1,0,0,7,1,1,1,1,1,63,1.34083,0.543437,17.4641,70.0013,52.3298,93.7425,0.503389,63.1764,63.53,54,43369.1,0,0,1,0,21.9877,0.364535,0.0763022,0.338164,-75.92,5.65,449,1357,2562,143.087,135.903,2318.4,41260,91.8931,0.421803,0.0636124,0,0.4375,1,0,0,0,1850,2892.24
5036,Antioquia,0,0,1,1,1,0,2,1,0,1,1,0,25,0.812921,0.391044,20.0072,88.0682,55.8441,93.0195,0.589914,61.7741,66.03,50,45581.2,0,0,0,0,8.68212,0.314971,0.067282,0.294146,-75.73,6.1,87,1917,2446,171.785,121.082,280.893,6586,75.7011,0.276701,0,0,0.666667,1,0,0,0,1895,2892.24
5038,Antioquia,0,1,1,1,0,0,3,1,0,1,0,0,35,0.997941,0.198606,22.5393,50.3126,23.3014,92.4135,0.51087,40.4188,50.84,46,22595.5,0,0,0,0,10.5805,0.339862,0.0813105,0.223126,-75.34,6.87,392,1637,2672,194.742,106.29,2464.25,15014,38.301,0.215835,0.0479633,0,0.733333,1,0.01001,0,0,1814,1998
5040,Antioquia,0,1,1,1,0,0,2,1,0,1,0,0,12,1.3244,0.284399,25.0878,38.7677,25.8023,51.6902,0.503717,31.9402,51.93,44,9637.13,0,0,0,0,32.9029,0.378933,0.06698,0.261163,-75.14,7.06,1447,1535,2354,199.567,97.7258,4075.02,14568,10.0677,0.289867,13.2888,0,0.736842,1,0.050478,0,0,1808,2615
