dane_code,neighbor_dane_code
5001,5036
5001,5088
5001,5212
5001,5240
5001,5266
5001,5318
5001,5347
5001,5360
5001,5380
5001,5607
5001,5615
5001,5656
5002,5376
5002,5400
5002,5467
5002,5679
5002,5756
5002,17013
5004,5042
5004,5125
5004,5138
5004,5284
5004,5306
5004,5847
5021,5206
5021,5321
5021,5541
5021,5667
5021,5670
5021,5690
5030,5036
5030,5129
5030,5282
5030,5809
5030,5861
5031,5040
5031,5310
5031,5315
5031,5604
5031,5736
5031,5858
5031,5885
5031,5890
5031,5895
5034,5091
5034,5353
5034,5364
5034,5368
5034,5576
5034,27073
5034,27245
5034,66456
5036,5001
5036,5030
5036,5059
5036,5129
5036,5347
5036,5380
5036,5809
5038,5134
5038,5150
5038,5315
5038,5686
5038,5887
5040,5031
5040,5120
5040,5134
5040,5315
5040,5790
5040,5854
5040,5887
5040,5895
5042,5004
5042,5044
5042,5113
5042,5125
5042,5240
5042,5306
5042,5411
5042,5501
5042,5761
5044,5042
5044,5059
5044,5093
5044,5125
5044,5240
5044,5847
5045,5147
5045,5837
5045,23807
5045,23855
5051,5490
5051,5659
5051,5665
5051,5837
5051,23001
5051,23090
5051,23419
5055,5483
5055,5756
5055,17662
5059,5036
5059,5044
5059,5093
5059,5209
5059,5240
5059,5347
5059,5809
5079,5206
5079,5237
5079,5308
5079,5674
5079,5690
5086,5264
5086,5411
5086,5501
5086,5656
5086,5658
5086,5664
5086,5686
5086,5761
5088,5001
5088,5212
5088,5656
5088,5664
5091,5034
5091,5101
5091,5353
5091,27245
5093,5044
5093,5059
5093,5209
5093,5642
5093,5847
5101,5091
5101,5353
5101,5576
5101,5642
5101,27245
5107,5361
5107,5819
5107,5854
5107,5887
5113,5042
5113,5138
5113,5306
5113,5411
5113,5543
5113,5628
5120,5040
5120,5154
5120,5790
5120,5895
5120,23466
5125,5004
5125,5042
5125,5044
5125,5847
5129,5030
5129,5036
5129,5282
5129,5380
5129,5607
5129,5631
5129,5679
5134,5038
5134,5040
5134,5887
5138,5004
5138,5113
5138,5284
5138,5306
5138,5543
5138,5842
5142,5425
5142,5579
5142,5585
5142,5649
5142,5670
5145,5789
5145,5856
5145,17013
5145,17442
5145,17513
5145,17614
5145,17777
5147,5045
5147,5172
5147,5837
5147,23807
5148,5197
5148,5376
